,filename,1,2,3
0,random_210.txt,0.960422073,0.47329333,0.514968096
1,SMPA_Output_1117-1.txt,0.951035624,0.864900917,0.937242418
2,submitRFcomp.txt,0.223494637,0.41622255,0.839538025
3,testpredictions2.csv,0.02961725,0.933416027,0.965365535
4,OneBetterClassifier.txt,0.960705248,0.894013609,0.948081646
5,testY_1115.txt,0.244273771,0.525661499,0.120514492
6,eh_2_0.txt,0.968668369,0.903176968,0.960521998
7,kintzel_2.txt,0.243438725,0.373985068,0.968165095
8,team_predictions6.txt,0.986068903,0.957753177,0.971830771
9,PASM_OutputQ_1117.txt,0.979319983,0.916666371,0.955377707
10,Bagging_tree_60.txt,0.271266341,0.391513146,0.853890477
13,SubmissionFile_KNN.txt,error,error,error
14,testResults.txt,0.034373332,0.102887667,0.045496771
15,testTruth2.txt,1,1,1
16,v3.txt,0.358364816,0.39715693,0.114300925
17,test_predictions4.txt,0.921076206,0.871530065,0.890389049
18,WP_16NOV.txt,0.947481799,0.883785464,0.935938796
19,testY_1116_binary_NA003.txt,0.322144286,0.29786565,0.940550406
20,zj_classification_2.txt,0.981078703,0.957320756,0.969439972
