,filename,1,2,3
0,random_210.txt,0.960422073,0.47329333,0.514968096
1,SMPA_Output_1114_2.txt,0.966532928,0.89961646,0.957562436
2,submitrepeat1.txt,error,error,error
3,testpredictions2.csv,0.02961725,0.933416027,0.965365535
4,UltimatumClassifier.txt,0.985664755,0.938859911,0.955202927
5,testY_1114.txt,0.274712391,0.524142185,0.118417453
6,k_1.txt,0.983342445,0.950652424,0.968165095
9,team_predictions3.txt,0.970085373,0.921456285,0.958944272
10,PASM_OutputR_1114.txt,0.950720933,0.869094223,0.927263273
11,PASM_OutputS_1114.txt,0.96671967,0.899260254,0.957475987
12,Bagging_tree_60.txt,0.271266341,0.391513146,0.853890477
13,nov15results.csv,error,error,error
14,P_v2.txt,0.316419462,0.50307846,0.141659348
15,test_predictions3.txt,0.5,0.71381592,0.890389049
16,testY_1115_clf6_fillByLabel-1.txt,0.217649442,0.351786666,0.935398501
17,zj_classification_1.txt,0.982989888,0.957345091,0.969173823
